,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.83+-0.06,0.35+-0.23,0.91+-0.06,0.27+-0.25,0.72+-0.16
1,"[13, 5]",0.81+-0.04,0.28+-0.18,0.9+-0.06,0.19+-0.18,0.76+-0.13
2,"[13, 5, 7]",0.86+-0.06,0.44+-0.24,0.93+-0.06,0.42+-0.26,0.8+-0.13
3,"[13, 5, 7, 17]",0.86+-0.06,0.38+-0.26,0.94+-0.05,0.35+-0.27,0.79+-0.12
4,"[13, 5, 7, 17, 98]",0.86+-0.04,0.38+-0.22,0.94+-0.04,0.35+-0.23,0.76+-0.13
5,"[13, 5, 7, 17, 98, 41]",0.85+-0.07,0.38+-0.25,0.93+-0.07,0.35+-0.28,0.74+-0.18
6,"[13, 5, 7, 17, 98, 41, 47]",0.86+-0.05,0.32+-0.29,0.95+-0.04,0.28+-0.3,0.69+-0.17
7,"[13, 5, 7, 17, 98, 41, 47, 3]",0.85+-0.05,0.38+-0.27,0.93+-0.05,0.33+-0.25,0.74+-0.14
8,"[13, 5, 7, 17, 98, 41, 47, 3, 2]",0.85+-0.04,0.33+-0.21,0.94+-0.04,0.3+-0.22,0.72+-0.12
9,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95]",0.85+-0.07,0.38+-0.22,0.93+-0.07,0.36+-0.26,0.71+-0.15
10,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89]",0.88+-0.05,0.49+-0.22,0.95+-0.05,0.49+-0.22,0.75+-0.16
11,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39]",0.87+-0.07,0.47+-0.25,0.94+-0.06,0.46+-0.26,0.79+-0.12
12,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27]",0.86+-0.06,0.4+-0.25,0.93+-0.07,0.37+-0.28,0.77+-0.13
13,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70]",0.86+-0.06,0.4+-0.25,0.93+-0.06,0.38+-0.29,0.75+-0.19
14,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24]",0.87+-0.05,0.4+-0.22,0.95+-0.04,0.39+-0.25,0.73+-0.2
15,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33]",0.86+-0.06,0.41+-0.23,0.94+-0.06,0.4+-0.26,0.76+-0.16
16,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90]",0.86+-0.06,0.44+-0.26,0.93+-0.06,0.41+-0.27,0.76+-0.16
17,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6]",0.86+-0.07,0.44+-0.23,0.93+-0.08,0.41+-0.25,0.75+-0.18
18,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1]",0.86+-0.05,0.43+-0.22,0.93+-0.05,0.39+-0.23,0.77+-0.14
19,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0]",0.84+-0.08,0.37+-0.25,0.92+-0.07,0.34+-0.29,0.74+-0.18
20,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43]",0.87+-0.06,0.39+-0.26,0.95+-0.05,0.4+-0.28,0.77+-0.17
21,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92]",0.86+-0.06,0.48+-0.25,0.92+-0.05,0.41+-0.24,0.77+-0.13
22,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22]",0.86+-0.05,0.37+-0.26,0.94+-0.04,0.35+-0.26,0.73+-0.14
23,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84]",0.86+-0.06,0.41+-0.24,0.94+-0.05,0.39+-0.24,0.77+-0.15
24,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66]",0.86+-0.06,0.41+-0.24,0.94+-0.05,0.4+-0.27,0.78+-0.19
25,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93]",0.86+-0.06,0.45+-0.28,0.93+-0.06,0.42+-0.27,0.79+-0.14
26,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64]",0.86+-0.05,0.43+-0.24,0.94+-0.05,0.4+-0.24,0.74+-0.17
27,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86]",0.85+-0.07,0.42+-0.25,0.92+-0.06,0.38+-0.27,0.73+-0.22
28,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20]",0.87+-0.05,0.45+-0.28,0.94+-0.04,0.41+-0.28,0.76+-0.16
29,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21]",0.86+-0.04,0.43+-0.28,0.94+-0.04,0.39+-0.24,0.77+-0.14
30,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37]",0.86+-0.06,0.43+-0.21,0.93+-0.06,0.4+-0.23,0.76+-0.15
31,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40]",0.86+-0.04,0.34+-0.22,0.94+-0.05,0.33+-0.23,0.71+-0.18
32,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54]",0.86+-0.05,0.49+-0.21,0.92+-0.05,0.43+-0.2,0.75+-0.14
33,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61]",0.86+-0.06,0.4+-0.23,0.94+-0.07,0.4+-0.24,0.75+-0.16
34,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46]",0.86+-0.07,0.41+-0.21,0.94+-0.07,0.41+-0.23,0.73+-0.18
35,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107]",0.86+-0.06,0.43+-0.28,0.93+-0.05,0.37+-0.29,0.77+-0.12
36,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48]",0.84+-0.06,0.37+-0.25,0.92+-0.06,0.31+-0.26,0.73+-0.14
37,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106]",0.86+-0.07,0.43+-0.26,0.93+-0.08,0.4+-0.27,0.76+-0.11
38,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29]",0.85+-0.05,0.36+-0.17,0.93+-0.05,0.34+-0.18,0.7+-0.13
39,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52]",0.82+-0.07,0.43+-0.22,0.89+-0.08,0.33+-0.19,0.72+-0.16
40,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52, 23]",0.85+-0.05,0.34+-0.25,0.94+-0.06,0.31+-0.23,0.73+-0.16
41,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52, 23, 30]",0.85+-0.08,0.4+-0.31,0.93+-0.08,0.34+-0.32,0.74+-0.18
42,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52, 23, 30, 60]",0.84+-0.04,0.37+-0.24,0.92+-0.05,0.3+-0.23,0.77+-0.11
43,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52, 23, 30, 60, 103]",0.84+-0.06,0.32+-0.19,0.92+-0.06,0.28+-0.24,0.73+-0.14
44,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21, 37, 40, 54, 61, 46, 107, 48, 106, 29, 52, 23, 30, 60, 103, 12]",0.85+-0.06,0.38+-0.22,0.93+-0.06,0.34+-0.26,0.73+-0.13
