"symbol","logFC","FDR","Sig"
"MYBL1","-2.146563984","1.37E-8","Down"
"KLRF1","-2.075630509","1.02E-8","Down"
"TCRDV2","-2.028998065","5.60E-8","Down"
"LRRN3","-2.003739234","3.42E-9","Down"
"TRDV3","-1.993204036","6.65E-8","Down"
"KLRB1","-1.920119927","9.60E-8","Down"
"NOG","-1.795176404","5.47E-7","Down"
"KLRC3","-1.710334306","1.38E-6","Down"
"CD160","-1.697173142","6.22E-7","Down"
"SH2D1A","-1.61892966","1.16E-5","Down"
"FGFBP2","-1.61824591","2.96E-6","Down"
"TC2N","-1.615665814","4.40E-5","Down"
"TRAT1","-1.595971996","4.71E-6","Down"
"KLRC4-KLRK1","-1.588615405","3.59E-6","Down"
"NELL2","-1.578836971","2.45E-5","Down"
"TOX","-1.572626675","2.76E-6","Down"
"PTGDR","-1.565319868","1.88E-5","Down"
"KLRC1","-1.546899637","1.32E-5","Down"
"NMT2","-1.544098495","9.54E-5","Down"
"HLA-DQA1","-1.531870548","3.62E-6","Down"
"SCML1","-1.486919641","8.31E-5","Down"
"LINC01215","-1.479914904","9.83E-5","Down"
"TARP","-1.47746096","6.37E-5","Down"
"NLRC3","-1.47217605","0.000172414","Down"
"XIST","-1.469737396","5.02E-11","Down"
"CD247","-1.469330743","0.000228041","Down"
"GPR18","-1.463416495","0.000130368","Down"
"A2M-AS1","-1.453194089","5.65E-5","Down"
"CLIC3","-1.441990793","1.81E-5","Down"
"IL2RB","-1.440692328","4.94E-5","Down"
"TBC1D4","-1.436469537","0.000351439","Down"
"TGFBR3","-1.43103997","0.000113824","Down"
"GPR183","-1.415492694","0.000301674","Down"
"USP9Y","-1.406963097","2.34E-6","Down"
"EOMES","-1.402954774","0.000172414","Down"
"TRAV12-1","-1.400969653","5.62E-5","Down"
"THEMIS","-1.394739074","8.25E-5","Down"
"CCR3","-1.392920997","3.57E-5","Down"
"GNLY","-1.391750743","0.000192166","Down"
"DDHD2","-1.381673294","0.000584096","Down"
"TXK","-1.375088202","0.000120933","Down"
"ITK","-1.372839416","0.000445929","Down"
"SACS","-1.366811087","0.000301674","Down"
"PRKACB","-1.365966537","0.000375346","Down"
"ITM2A","-1.364822319","0.000213494","Down"
"ZNF600","-1.354302955","0.000445929","Down"
"HLA-DPB1","-1.346774119","0.000768098","Down"
"P2RY10","-1.344667787","0.000120933","Down"
