,SID,SLC39A8,RHAG,DDIT4,MPO,RRM2,CCL3,TGFBI,MAFF,TYMS,ENPP2,KIAA0101,TOP2A,KIF11,PRG2,CKS2,SLCO4A1,ZWINT,CCR2,CCNB1,CEP55,NUSAP1,RGS1,PTTG1,PRC1,CD24,CCNB2,HMMR,CPVL,RGL1,MLF1IP,FABP5,MAD2L1,CD69,RGS2,EMP1,RACGAP1,FGL2,TTK,NME1,TFRC,CTSL1,EBI3,SHCBP1,CCRL2,KIF14,MELK,TFDP2,MT1G,H1F0,MCM4,AREG,NEK2,MT1H,TPX2,BTG3,RAB13,HSPA6,CDC20,EMR3,CASC5,MT1E,SCD,GINS2,RCBTB2,E2F8,STAT4,NUAK2,CKS1B,CCNE2,RAD51AP1,TNFAIP3,CD302,MCM6,NDUFS5,RPL10,BUB1B,MT1X,CDKN3,NNMT,COX6C,LSM5,PSMG1,CENPA,KIF4A,MANSC1,MCM2,MT1F,RPA3,COX7B,MYL6B,PCNT,ATAD2,SDC4,WBP5,TARS,CCL20,CLEC7A,RAD51,JUN,FEN1,AURKA,FRAT1,SNRPG,KIF2C,POLE2,UBE2C,AURKB,CENPF
0,GSM102976,7.83775973,4.112866123,8.046404961,2.32406938,4.759058682,3.140720641,4.143039212,8.578116355,5.230841969,3.862936581,5.590981076,3.746230509,2.530970745,2.067651712,6.424284223,4.103027727,4.327974736,7.817753971,4.025743648,3.285041299,5.008812861,3.747381186,5.9888144310000015,2.680998373,9.83226499,3.962405871,3.752682072,5.722328694,3.447420703,3.577167733,4.31413865,5.218656637,6.826474414,8.859253303,2.695626052,4.787570348,11.81219243,3.964447138,4.838680255,8.58143006,7.433513779,2.508861518,3.409005748,8.113696425,3.559417822,3.3827775860000004,4.7140034680000005,5.303477307,5.363508105,4.542588031,5.491560506,3.090377412,5.445808079,2.106549341,4.18612836,6.676142417,9.884938489,2.675352251,2.135084206,3.670579922,4.316835786,3.3486240780000003,3.375076684,8.358141768,2.845693369,5.99123973,7.988769653999999,4.126093602,4.217526283,3.0366857000000005,9.657705122,8.44865847,6.736581229,7.669709921,7.669709921,2.386423344,7.081876553,3.135528307,4.178649481,9.317581383,8.553082131,4.928097911,2.497888956,2.389034902,8.732754007,2.630918346,4.836510754,6.439334224,10.07757118,4.369335014,3.791490521,3.86801946,3.453014405,3.185965597,7.208446921,2.14239511,9.525484794,3.209262235,3.209611316,4.062130241,3.009848673,8.78577468,9.787392842,2.240853556,2.622261387,4.787508461,3.002504155,2.246339093
1,GSM102977,7.751983142,1.48579474,8.971048989,5.258545794,7.684430446,2.811140867,4.9776499460000005,4.715506687,7.567844895,3.212268256,6.2792645170000005,7.422459387999999,4.117334994,2.3365935280000003,6.463235158,4.957718044,5.581224861,8.707474712,5.559283395,5.662753503999999,7.177233157000001,2.421339341,7.688447437000001,4.477404779,10.31609372,6.315539077,4.633551399,6.251312613,4.192515704,4.590671115,5.83101658,6.008698683,4.930772604,10.36775933,4.270834502,6.249967536000001,9.30309344,3.045275893,5.386751779,7.358074912,7.004696747000001,2.663313696,4.802062168,3.458776647,4.901593622,3.962931292,4.26382143,4.241411099,5.765465548,5.99716822,2.372620895,3.671559559,3.730368255,4.047861771,4.200695412,6.692702656,8.728278861,4.395307099999999,1.673704586,4.115305717,3.077580379,5.17741691,3.692090659,7.057639091,4.063540839,3.535820344,7.69430879,3.581616202,3.3650382160000003,3.204588099,8.413236554,8.094179463,7.182764232999999,7.977104559,7.977104559,3.4762823110000003,6.481600833,3.616439599,3.34110797,9.380221076,8.675383072999999,5.850575382000001,3.538524599,3.597240669,10.46106088,4.084441279,4.639912858,6.267710425,9.873881825,4.710024568,4.386551622,4.298879634,3.191077759,2.202924764,7.3896571610000015,1.931043797,8.528013012999999,3.0996716980000003,3.534229271,4.65137953,4.084428599,8.823992529,9.877402613,3.083158007,2.470561543,5.049623229,2.6672295,3.301097778
2,GSM102978,10.27905306,1.925620192,8.712714119,1.856426825,5.890787955,5.947865929,4.036439637,9.109963393,6.0668303360000015,3.086101254,4.688248486,3.334740259,2.988987681,2.078940385,6.600210335,3.91917894,4.799862564,2.9323132339999995,4.0711376160000015,2.544239062,5.557573004,4.343195216,5.945643968,2.456494354,8.76016497,4.46528591,3.458376032,2.841639418,3.461760623,3.443371999,7.091874344,4.976648277,6.3316564889999984,8.161037334,2.866762763,5.268527875,11.02765925,3.1696394530000003,5.07100367,8.94724668,7.070420521,5.8661857710000005,3.413286771,9.098886226,3.5029463310000004,3.538366233,4.083529167,7.201407225,4.5834167830000005,3.566839256,3.5886710139999995,4.225342405,6.470891368999999,2.208980018,6.033729723,6.267020297999999,8.115264962000001,2.627981949,1.706595493,4.577813981,5.848980291,4.731833048,3.523014597,5.362375733,2.80778638,6.153524349,6.276276172,4.386739372,3.43175573,2.715747135,11.33105507,6.664948999,6.879870798,7.507898651,7.507898651,3.167579358,8.720825384,3.410795234,6.008532581,9.595503567,8.69632548,3.964838496,2.304471376,2.743877584,5.318823872,3.260042594,6.58346612,7.044993606,10.28638015,5.085842201,4.041236837,3.879088933,4.578081405,2.201589841,5.916145944,2.098009015,9.43954564,2.703586575,3.757488617,3.554817,2.921563755,8.135533841,10.67318162,2.399207921,2.270242797,4.136698922,3.181529873,2.66303204
3,GSM102979,9.601609272,5.888388141,8.527441199,5.750054514,8.20651381,5.1342655530000005,4.616063523999999,5.156271413,8.057016111,2.684719201,7.520500801,7.644870195,5.210966634,3.299122398,7.359554617000001,3.983836767,7.0016106360000006,8.859345914,6.935843802999999,6.208865612,7.168168705,2.340217388,8.887465564,4.454393817,11.34419084,6.072688115,5.973117807,6.095364869,3.865976685,5.305957925,5.31893206,7.105196685,5.296090321,9.948186848,2.560823151,6.627152552,9.271985431,5.750825265,5.852333825,8.544909209,7.279738127999999,3.864617615,6.035223864,4.423292496,5.819608174,3.771668629,4.6922757630000005,4.26502213,4.760028042,5.075778207,2.343102552,4.612758073999999,4.559708389,3.928900931,5.254950096,7.020148236,9.02870208,4.951182489,1.464756309,6.854404382,4.373830263,3.827051194,4.079112171,6.420084338,3.774392499,4.061213592,7.701586515,5.079704967,4.888341785,4.364414022,9.086531195,9.473646108,7.099397211,6.372151261,6.372151261,3.782745213,6.531285929,5.045050707,3.2228855110000003,8.662540295,8.178593357999999,5.505684088,4.458035516,3.105941747,9.741524296,3.242761142,5.524654049,6.015508479,8.944653707999999,5.346650203,3.700383374,4.907763524,3.566211825,2.330943265,6.917577457999999,2.120159507,8.263512765,3.675483516,3.585488582,5.330525663,4.034944243,7.884369137,9.025149088,3.2054513160000004,2.998326939,5.8467442,3.883343861,3.662963445
4,GSM102980,7.785195255,4.846311624,9.301228733,8.695506972,10.03250271,6.555199012,6.542890101,8.041716264,9.81344802,7.125344345,7.953979193999999,7.35557009,6.326331889,4.351770909,7.939606704,2.915444725,7.908367842,5.720991965,7.956706819,6.500002712000001,8.756859303999999,3.830116563,8.786446082000001,5.444264622,9.612260136,7.651590017999999,6.876951752999999,4.970816222,7.121588049,7.515439581,8.589992387999999,7.132026436,6.130110807,8.848569855,8.35676063,8.631739322,10.653802,6.035094458,8.615081339,9.504080056,8.532749901,2.739924036,7.141372264,4.934393284,5.682475955,6.690896361,5.754750317,9.007118168,6.167289182999999,8.889098914,2.086603439,5.399447297,9.405627127,5.698980468999999,5.225269206,6.661985763,7.83307818,6.585902963,1.7049637430000002,5.392611391,8.247823848,5.948171252000001,6.700840167000001,7.090538905,5.46199303,3.964955494,8.225254085,6.355877126,5.410639286,6.335415795,8.922553857,6.593450728,9.341632769,8.703223844,8.703223844,5.164460639,10.78736769,4.422613864,3.1749177310000003,10.09337074,9.564488743,7.322463777999999,3.918774391,4.916441225,8.207967551,6.888787488999999,8.666598086,7.609907662999999,10.19197801,5.668790869,7.405363379,6.057756652999999,3.599646199,2.325558557,8.25023456,1.947446481,9.555133928,6.441653424,5.497424944,6.78336642,6.314856764,8.603357541,10.32884794,4.966912021000001,4.004817128,6.864788537999999,5.244933158,4.199692459
5,GSM102981,5.147535549,2.539780676,9.449671821,2.831685756,3.783744379,4.161565401,5.257932955,4.928000633,2.872455646,2.345908073,2.817638947,3.132813968,1.756543847,1.899006167,5.539797269,3.4332425260000003,3.30784675,7.992403621,3.444878459,2.370370578,3.951131239,2.667718712,3.816523427,1.992982978,8.537431911,2.71638579,2.86428557,6.970031996,3.129935629,4.073837019,4.046847082,4.512627092,6.140406317,12.64061676,3.620765492,5.104194087,10.60441658,2.377884553,5.054775663,8.033917621,6.632764085,2.131790988,2.88496317,2.994764341,3.303680993,2.565563056,4.096487982,3.75520722,3.202460382,4.122457292,3.243610532,2.827566568,3.123685704,1.765773482,4.15184417,6.597641394,9.683772554,1.934173172,4.120742525,3.0071423860000004,2.7066552610000003,3.508718173,1.97247562,7.723644649,1.980476975,4.279385083,7.988053282999999,3.459484343,3.737757697,2.716304754,9.248419167,8.420946800000001,6.598893244,8.790391197,8.790391197,1.4083108359999998,5.792291111,2.684738835,3.085236414,9.571915785,8.270250953,4.534349156,1.882286699,2.51197427,11.30218518,2.471050329,3.042713898,5.940320282999999,10.1838874,2.654147473,3.750453153,3.493080404,3.098455259,2.215586209,7.398864337000001,2.056711479,8.869724652999999,1.956533062,3.079038769,3.511515817,2.469415264,8.472016414,9.770005651,2.018465892,2.000717644,3.778668438,2.4114458130000003,2.310076505
6,GSM102982,7.141213948,6.30792361,8.171502652000001,2.24539277,8.002354748,4.359960927,6.470540649,6.854794236,9.125623453,2.675577972,7.770667022,5.515011017000001,5.032302706,2.696796255,8.54950916,3.108890592,7.518662985,8.91431786,7.115344718999999,5.3299542010000005,7.583114665,8.581349662000001,8.275337047999999,4.892940567,8.507544057999999,6.801529405,7.153277103,6.811935993,3.045024398,5.9152061960000015,7.385843928,7.960419515,6.9735835370000006,12.34391476,5.702820067999999,7.457614346000001,11.77340059,5.6448066,6.372530382000001,9.511835921,6.363684292,2.454748962,4.700736752,5.329202023,5.968693169,5.823578237,6.373512612000001,6.829954598,3.85372343,7.484734521,2.445172685,5.742858841,6.739980173999999,4.359015773,6.227407923,4.409482143,10.35471085,4.099624755,4.596830709,6.189813878,6.97035253,6.345507932,5.6253149160000016,8.296488699,4.59569339,7.704344942,8.499358228,5.230991298,5.411885382,5.059799676,8.103398139,8.967046762999999,8.369924764,7.596436396,7.596436396,3.222545798,7.806198207,5.299881008,3.210015429,10.05599483,9.369173689,6.651702987999999,4.8357395510000005,3.118135645,9.788608967,4.405309183,7.128208844,7.433473552000001,10.29636,6.108192815,4.688837188,5.735925104,3.129198725,1.977773791,7.516984366,1.93378553,10.61773249,4.350733362,3.776504702,6.324847287000001,5.1948913910000005,8.843826386,10.41926489,3.801367418,3.903806827,5.529508042000001,4.372040053,3.712692707
7,GSM102983,11.38452663,4.2861608160000015,11.33943709,2.960588056,7.832238525,10.9136471,6.704730604,8.628330517,7.920137091,10.54082802,6.941707954,6.23953277,5.004875004,3.155825984,8.717962302,9.132589806,7.036482428999999,8.092083439,6.77857761,6.5940414270000005,7.722790356,10.10726933,8.972533164,5.424366551,11.71532979,5.693580623,6.008124637000001,6.6143032360000005,7.780954735,4.756617426,7.441031239,6.339653374,9.640356999,9.217880585,3.630284086,7.311702493999999,6.844552592,5.382394812,9.220262303,10.99599672,8.921300259,9.870145243,5.522637523999999,6.747135899,6.062355953,4.536320212,5.581819641,7.063107672999999,4.753077196,5.825184704,5.840875445,4.272004808999999,7.69147743,3.407514733,7.353598597,7.094188346,6.636237826,4.548176039,2.067930956,7.340215949,7.9977033839999985,4.395868701,4.048891611,6.916874696,3.3403456960000004,7.57504582,5.457003198,6.230344318999999,5.632856188,4.967700155,11.71364337,8.167455862,7.637190604,7.797555922999999,7.797555922999999,4.250211234,11.53304514,4.754991604,10.98271433,8.910922994,9.033954787,6.296062479,3.739615728,3.13802501,6.351523042,3.242233635,6.7051161310000005,6.869306632000001,10.17999843,5.279235413,5.330161486000001,5.276520812,5.6265326060000005,2.136638856,7.2677179239999985,9.630028322,8.352549478,3.817760001,4.477315127,5.156088925,4.525242823,5.774398199,10.10529355,3.346874613,3.14375563,5.812711913999999,3.564478964,3.492756742
8,GSM102984,8.260781775,9.635551672,7.268865552,4.043873307,6.9761919820000005,3.102837224,4.763299523,9.806143205,6.322202062000001,3.575096303,6.470814226,6.5549287320000005,4.21369889,3.761543385,6.937172763,2.89616458,4.681207812,5.494303634,4.859798734,3.658565224,6.224528275,2.411070642,8.612308388999999,3.652384032,12.00449286,4.802617105,4.494404082,5.547892447000001,5.289394502,5.495554581,5.998464532000001,4.871378443,4.759854778,8.47732485,3.579886676,5.128338952,9.282748461,3.262848309,4.867637602,12.05115252,8.443552307000001,3.47962166,3.61235414,4.694297574,3.741257164,3.014433737,7.756218412999999,4.8707626930000005,6.3413398260000005,4.93565002,2.692898874,3.2565087000000004,4.620955306,2.6629883,4.893686029,4.583861391,7.448236232999999,3.122260287,3.3741339810000004,4.956054428,4.209517936,2.576707931,3.010138338,6.648437836,3.942273329,5.715320202000001,6.068043017999999,4.3163094630000005,4.117456819,2.820071362,8.86922669,9.282103263,6.372351362000001,7.583666308,7.583666308,2.843405236,6.979713951,3.835560285,3.933110789,8.817592827,7.699457615,4.661523422,2.336727011,3.156049365,7.126556972,3.0666620960000004,5.139708679,6.095004907000001,10.33989955,5.280049196,5.256245707,3.91458632,3.180623762,2.472631459,7.764666803,1.976980951,9.062598084,2.837694545,2.6903157230000003,3.839717598,3.464199977,6.497952002999999,9.287990309,2.522718741,2.836381401,3.881797712,4.290830481,3.048680861
9,GSM102990,6.224835437,1.881510152,7.013048145,2.607232588,5.216274022,2.400619314,9.468258147,5.315103033,4.527750141,2.834821603,3.935337794,2.643486377,2.513964723,1.840351404,4.447135243,3.049974122,3.308329485,10.17465816,3.417749837,2.558826624,4.815031842,2.0776956280000003,4.972168362,1.952683917,9.41479381,3.238294965,3.045435132,9.392241656,2.903366293,3.604375724,5.813646406,4.3600675010000005,4.150270908,12.80201908,2.523885011,4.790582563,11.39802481,1.982237415,5.875186172,7.751039811,6.942733672,2.551369539,3.316062591,4.086533171,2.924884891,2.027617935,3.633073092,3.631910548,4.707194021,4.139158978999999,1.837527674,2.5836151000000003,4.065110545,2.175419476,3.925510277,5.933063657999999,10.18807633,2.359133321,2.9135272530000003,3.405191687,3.022087736,3.739652876,2.62478301,9.008494501,2.3794835080000003,3.752709006,9.417216363,3.265456855,3.011840647,2.865921994,8.240701667,10.60788923,6.354765161,7.976590784,7.976590784,2.282197008,6.465835047000001,2.228807545,3.347367143,8.959886106,7.792206129,5.895644202000001,2.033856671,2.202921828,9.906203432,2.745198601,4.58241839,5.862279227,9.481544649,4.256088507,3.850064387,3.679615243,3.072618904,1.507278455,6.439706673,1.792871236,10.59328433,2.677134679,3.0786679610000003,3.708060241,3.350507963,9.653913603,9.37908382,2.415190844,1.964750901,3.632468276,3.024535505,2.17458204
