,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.85+-0.04,0.27+-0.2,0.94+-0.04,0.25+-0.25,0.73+-0.15
1,"[13, 47]",0.87+-0.04,0.34+-0.19,0.96+-0.04,0.37+-0.21,0.84+-0.12
2,"[13, 47, 7]",0.88+-0.04,0.31+-0.23,0.98+-0.03,0.39+-0.27,0.85+-0.11
3,"[13, 47, 7, 48]",0.88+-0.05,0.32+-0.24,0.97+-0.04,0.39+-0.28,0.83+-0.12
4,"[13, 47, 7, 48, 84]",0.88+-0.05,0.31+-0.25,0.98+-0.03,0.38+-0.31,0.9+-0.05
5,"[13, 47, 7, 48, 84, 39]",0.89+-0.04,0.33+-0.2,0.98+-0.03,0.43+-0.25,0.89+-0.06
6,"[13, 47, 7, 48, 84, 39, 5]",0.89+-0.04,0.3+-0.19,0.98+-0.03,0.41+-0.25,0.9+-0.06
7,"[13, 47, 7, 48, 84, 39, 5, 41]",0.89+-0.03,0.32+-0.24,0.98+-0.02,0.4+-0.27,0.89+-0.06
8,"[13, 47, 7, 48, 84, 39, 5, 41, 95]",0.89+-0.04,0.36+-0.17,0.97+-0.03,0.46+-0.21,0.9+-0.06
9,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2]",0.89+-0.04,0.32+-0.19,0.98+-0.02,0.42+-0.27,0.91+-0.06
10,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46]",0.89+-0.04,0.32+-0.24,0.99+-0.02,0.43+-0.29,0.91+-0.08
11,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1]",0.89+-0.03,0.32+-0.18,0.99+-0.02,0.45+-0.23,0.9+-0.06
12,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17]",0.88+-0.04,0.31+-0.2,0.98+-0.03,0.39+-0.25,0.89+-0.06
13,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92]",0.89+-0.03,0.3+-0.2,0.98+-0.03,0.4+-0.23,0.9+-0.08
14,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89]",0.89+-0.03,0.32+-0.19,0.99+-0.02,0.44+-0.25,0.9+-0.07
15,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61]",0.89+-0.03,0.35+-0.2,0.98+-0.02,0.47+-0.23,0.89+-0.07
16,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93]",0.89+-0.04,0.31+-0.28,0.99+-0.03,0.39+-0.29,0.88+-0.08
17,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90]",0.89+-0.03,0.36+-0.21,0.98+-0.02,0.47+-0.24,0.9+-0.07
18,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64]",0.9+-0.04,0.35+-0.25,1.0+-0.01,0.47+-0.29,0.9+-0.07
19,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29]",0.9+-0.04,0.32+-0.24,0.99+-0.02,0.45+-0.28,0.88+-0.08
20,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50]",0.9+-0.03,0.37+-0.21,0.99+-0.02,0.51+-0.23,0.89+-0.08
21,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6]",0.89+-0.04,0.3+-0.23,0.99+-0.02,0.42+-0.28,0.88+-0.1
22,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40]",0.9+-0.04,0.32+-0.3,0.99+-0.02,0.42+-0.32,0.88+-0.08
23,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63]",0.89+-0.03,0.29+-0.14,0.99+-0.02,0.44+-0.18,0.88+-0.08
24,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21]",0.89+-0.03,0.36+-0.21,0.98+-0.03,0.46+-0.22,0.87+-0.09
