,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.84+-0.06,0.3+-0.24,0.93+-0.06,0.25+-0.26,0.65+-0.16
1,"[13, 47]",0.87+-0.06,0.41+-0.26,0.94+-0.05,0.38+-0.29,0.72+-0.18
2,"[13, 47, 7]",0.87+-0.05,0.43+-0.26,0.94+-0.05,0.41+-0.25,0.72+-0.16
3,"[13, 47, 7, 48]",0.87+-0.06,0.43+-0.3,0.95+-0.04,0.42+-0.3,0.71+-0.19
4,"[13, 47, 7, 48, 84]",0.87+-0.04,0.39+-0.22,0.95+-0.05,0.41+-0.23,0.72+-0.19
5,"[13, 47, 7, 48, 84, 39]",0.88+-0.04,0.43+-0.23,0.96+-0.04,0.45+-0.24,0.78+-0.14
6,"[13, 47, 7, 48, 84, 39, 5]",0.87+-0.06,0.38+-0.27,0.96+-0.04,0.4+-0.31,0.74+-0.23
7,"[13, 47, 7, 48, 84, 39, 5, 41]",0.85+-0.05,0.39+-0.21,0.93+-0.06,0.35+-0.23,0.75+-0.17
8,"[13, 47, 7, 48, 84, 39, 5, 41, 95]",0.86+-0.06,0.39+-0.29,0.94+-0.05,0.38+-0.31,0.76+-0.21
9,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2]",0.86+-0.05,0.37+-0.26,0.95+-0.04,0.36+-0.27,0.82+-0.12
10,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46]",0.85+-0.06,0.4+-0.27,0.93+-0.07,0.36+-0.25,0.74+-0.2
11,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1]",0.84+-0.04,0.35+-0.28,0.92+-0.07,0.28+-0.22,0.72+-0.16
12,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17]",0.83+-0.15,0.44+-0.25,0.9+-0.19,0.39+-0.21,0.8+-0.13
13,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92]",0.85+-0.05,0.36+-0.25,0.94+-0.06,0.34+-0.25,0.74+-0.18
14,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89]",0.86+-0.06,0.4+-0.3,0.93+-0.08,0.38+-0.26,0.77+-0.18
15,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61]",0.86+-0.05,0.41+-0.28,0.94+-0.06,0.38+-0.26,0.79+-0.15
16,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93]",0.86+-0.04,0.4+-0.23,0.94+-0.04,0.38+-0.23,0.77+-0.16
17,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90]",0.84+-0.06,0.34+-0.21,0.93+-0.07,0.31+-0.23,0.68+-0.17
18,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64]",0.85+-0.04,0.36+-0.21,0.93+-0.05,0.33+-0.21,0.77+-0.13
19,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29]",0.87+-0.04,0.43+-0.25,0.94+-0.05,0.41+-0.22,0.78+-0.12
20,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50]",0.84+-0.05,0.34+-0.24,0.93+-0.05,0.29+-0.26,0.71+-0.15
21,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6]",0.85+-0.08,0.43+-0.24,0.92+-0.07,0.38+-0.28,0.77+-0.15
22,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40]",0.87+-0.05,0.44+-0.29,0.94+-0.05,0.42+-0.25,0.76+-0.16
23,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63]",0.84+-0.06,0.41+-0.25,0.91+-0.06,0.36+-0.24,0.71+-0.18
24,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21]",0.84+-0.05,0.36+-0.32,0.93+-0.06,0.27+-0.28,0.73+-0.15
25,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27]",0.86+-0.05,0.41+-0.24,0.94+-0.05,0.39+-0.27,0.73+-0.15
26,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70]",0.85+-0.05,0.36+-0.22,0.94+-0.06,0.34+-0.22,0.72+-0.15
27,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85]",0.86+-0.06,0.35+-0.28,0.94+-0.04,0.33+-0.31,0.73+-0.2
28,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3]",0.85+-0.05,0.37+-0.25,0.93+-0.07,0.35+-0.22,0.74+-0.15
29,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30]",0.84+-0.06,0.28+-0.2,0.93+-0.06,0.27+-0.26,0.72+-0.19
30,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54]",0.85+-0.06,0.39+-0.27,0.93+-0.05,0.35+-0.25,0.76+-0.16
31,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59]",0.85+-0.07,0.37+-0.24,0.93+-0.08,0.36+-0.24,0.74+-0.14
32,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101]",0.85+-0.08,0.4+-0.25,0.93+-0.08,0.37+-0.29,0.76+-0.13
33,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98]",0.85+-0.06,0.39+-0.2,0.93+-0.06,0.36+-0.24,0.73+-0.17
34,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34]",0.85+-0.05,0.33+-0.29,0.93+-0.05,0.28+-0.28,0.63+-0.21
35,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28]",0.82+-0.07,0.34+-0.19,0.91+-0.08,0.28+-0.2,0.64+-0.18
36,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22]",0.84+-0.04,0.34+-0.21,0.92+-0.05,0.29+-0.22,0.69+-0.14
37,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24]",0.84+-0.05,0.38+-0.25,0.92+-0.05,0.32+-0.24,0.72+-0.18
38,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100]",0.83+-0.08,0.34+-0.27,0.91+-0.08,0.26+-0.3,0.67+-0.19
39,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86]",0.85+-0.04,0.37+-0.25,0.94+-0.04,0.34+-0.22,0.74+-0.15
40,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44]",0.83+-0.08,0.33+-0.27,0.92+-0.07,0.27+-0.32,0.72+-0.2
41,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9]",0.85+-0.06,0.42+-0.28,0.93+-0.06,0.38+-0.27,0.8+-0.11
42,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97]",0.83+-0.05,0.35+-0.2,0.92+-0.04,0.28+-0.23,0.74+-0.14
43,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83]",0.85+-0.05,0.42+-0.26,0.92+-0.06,0.36+-0.23,0.74+-0.14
44,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83, 51]",0.85+-0.06,0.37+-0.27,0.93+-0.06,0.33+-0.28,0.75+-0.14
45,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83, 51, 52]",0.83+-0.07,0.37+-0.26,0.91+-0.06,0.29+-0.28,0.68+-0.16
46,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83, 51, 52, 66]",0.84+-0.05,0.31+-0.25,0.93+-0.05,0.26+-0.28,0.74+-0.16
