,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.81+-0.07,0.35+-0.23,0.88+-0.07,0.24+-0.24,0.73+-0.14
1,"[13, 47]",0.86+-0.05,0.39+-0.19,0.94+-0.05,0.39+-0.22,0.82+-0.08
2,"[13, 47, 7]",0.88+-0.04,0.39+-0.22,0.96+-0.04,0.42+-0.22,0.83+-0.11
3,"[13, 47, 7, 48]",0.86+-0.05,0.34+-0.24,0.95+-0.04,0.34+-0.24,0.84+-0.13
4,"[13, 47, 7, 48, 84]",0.86+-0.05,0.34+-0.2,0.94+-0.06,0.34+-0.21,0.9+-0.06
5,"[13, 47, 7, 48, 84, 39]",0.87+-0.03,0.37+-0.24,0.95+-0.05,0.39+-0.2,0.86+-0.12
6,"[13, 47, 7, 48, 84, 39, 5]",0.88+-0.04,0.36+-0.22,0.97+-0.04,0.42+-0.26,0.88+-0.06
7,"[13, 47, 7, 48, 84, 39, 5, 41]",0.87+-0.03,0.31+-0.2,0.97+-0.04,0.37+-0.22,0.86+-0.08
8,"[13, 47, 7, 48, 84, 39, 5, 41, 95]",0.87+-0.05,0.35+-0.23,0.96+-0.04,0.38+-0.28,0.87+-0.07
9,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2]",0.89+-0.03,0.39+-0.17,0.97+-0.03,0.47+-0.21,0.89+-0.05
10,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46]",0.88+-0.03,0.36+-0.25,0.97+-0.03,0.4+-0.25,0.9+-0.06
11,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1]",0.88+-0.04,0.35+-0.23,0.97+-0.03,0.38+-0.26,0.88+-0.08
12,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17]",0.88+-0.04,0.33+-0.24,0.97+-0.04,0.42+-0.24,0.9+-0.07
13,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92]",0.89+-0.04,0.37+-0.22,0.97+-0.03,0.45+-0.23,0.89+-0.08
14,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89]",0.89+-0.04,0.36+-0.21,0.97+-0.03,0.43+-0.26,0.88+-0.09
15,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61]",0.88+-0.05,0.33+-0.23,0.97+-0.03,0.39+-0.27,0.88+-0.06
16,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93]",0.9+-0.05,0.41+-0.27,0.98+-0.04,0.48+-0.29,0.87+-0.08
17,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90]",0.89+-0.03,0.37+-0.2,0.98+-0.03,0.48+-0.19,0.9+-0.08
18,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64]",0.88+-0.04,0.36+-0.26,0.97+-0.04,0.42+-0.27,0.88+-0.09
19,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29]",0.88+-0.04,0.31+-0.24,0.98+-0.03,0.4+-0.29,0.88+-0.08
20,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50]",0.89+-0.04,0.38+-0.27,0.97+-0.03,0.42+-0.29,0.88+-0.1
21,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6]",0.89+-0.04,0.39+-0.27,0.97+-0.04,0.46+-0.25,0.88+-0.1
22,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40]",0.88+-0.03,0.33+-0.2,0.98+-0.03,0.42+-0.23,0.87+-0.08
23,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63]",0.89+-0.03,0.38+-0.2,0.98+-0.03,0.47+-0.22,0.87+-0.08
24,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21]",0.89+-0.04,0.37+-0.25,0.97+-0.04,0.44+-0.27,0.87+-0.08
25,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27]",0.89+-0.03,0.36+-0.24,0.98+-0.03,0.44+-0.24,0.86+-0.09
26,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70]",0.9+-0.04,0.39+-0.27,0.98+-0.02,0.46+-0.29,0.86+-0.09
27,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85]",0.9+-0.04,0.41+-0.23,0.98+-0.03,0.49+-0.24,0.86+-0.08
28,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3]",0.89+-0.04,0.37+-0.22,0.98+-0.03,0.44+-0.26,0.88+-0.09
29,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30]",0.89+-0.04,0.38+-0.24,0.98+-0.03,0.47+-0.23,0.86+-0.11
30,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54]",0.9+-0.04,0.36+-0.22,0.99+-0.02,0.49+-0.26,0.86+-0.07
31,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59]",0.9+-0.03,0.37+-0.19,0.99+-0.03,0.51+-0.17,0.85+-0.11
32,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101]",0.89+-0.04,0.38+-0.19,0.98+-0.03,0.48+-0.22,0.86+-0.1
33,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98]",0.9+-0.04,0.37+-0.22,0.99+-0.02,0.48+-0.27,0.85+-0.1
34,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34]",0.89+-0.03,0.35+-0.21,0.98+-0.02,0.46+-0.25,0.86+-0.13
35,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28]",0.89+-0.04,0.3+-0.21,0.99+-0.03,0.41+-0.28,0.86+-0.07
36,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22]",0.89+-0.04,0.35+-0.21,0.98+-0.02,0.46+-0.25,0.85+-0.1
37,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24]",0.89+-0.04,0.36+-0.26,0.98+-0.03,0.45+-0.28,0.84+-0.09
38,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100]",0.88+-0.05,0.35+-0.22,0.97+-0.03,0.42+-0.27,0.85+-0.1
39,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86]",0.89+-0.04,0.36+-0.27,0.98+-0.03,0.44+-0.28,0.84+-0.08
40,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44]",0.88+-0.04,0.3+-0.24,0.98+-0.03,0.35+-0.29,0.88+-0.08
41,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9]",0.88+-0.05,0.32+-0.3,0.98+-0.03,0.38+-0.33,0.86+-0.13
42,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97]",0.89+-0.03,0.35+-0.22,0.99+-0.02,0.46+-0.24,0.85+-0.09
43,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83]",0.89+-0.04,0.31+-0.19,0.98+-0.03,0.42+-0.24,0.85+-0.08
44,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83, 51]",0.88+-0.04,0.31+-0.19,0.97+-0.04,0.38+-0.25,0.84+-0.12
45,"[13, 47, 7, 48, 84, 39, 5, 41, 95, 2, 46, 1, 17, 92, 89, 61, 93, 90, 64, 29, 50, 6, 40, 63, 21, 27, 70, 85, 3, 30, 54, 59, 101, 98, 34, 28, 22, 24, 100, 86, 44, 9, 97, 83, 51, 52]",0.88+-0.04,0.32+-0.19,0.97+-0.03,0.4+-0.24,0.85+-0.08
