,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.81+-0.07,0.35+-0.23,0.88+-0.07,0.24+-0.24,0.73+-0.14
1,"[13, 5]",0.83+-0.05,0.33+-0.2,0.92+-0.05,0.28+-0.22,0.74+-0.11
2,"[13, 5, 7]",0.88+-0.04,0.36+-0.24,0.97+-0.03,0.4+-0.26,0.84+-0.09
3,"[13, 5, 7, 17]",0.87+-0.04,0.37+-0.2,0.96+-0.03,0.41+-0.19,0.83+-0.1
4,"[13, 5, 7, 17, 98]",0.87+-0.05,0.35+-0.25,0.96+-0.04,0.37+-0.28,0.85+-0.08
5,"[13, 5, 7, 17, 98, 41]",0.87+-0.03,0.28+-0.22,0.97+-0.03,0.31+-0.23,0.84+-0.1
6,"[13, 5, 7, 17, 98, 41, 47]",0.88+-0.04,0.34+-0.23,0.97+-0.03,0.38+-0.27,0.87+-0.08
7,"[13, 5, 7, 17, 98, 41, 47, 3]",0.87+-0.04,0.28+-0.22,0.97+-0.03,0.34+-0.28,0.84+-0.09
8,"[13, 5, 7, 17, 98, 41, 47, 3, 2]",0.87+-0.04,0.28+-0.23,0.96+-0.03,0.31+-0.28,0.87+-0.07
9,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95]",0.89+-0.03,0.39+-0.19,0.97+-0.03,0.47+-0.2,0.87+-0.06
10,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89]",0.88+-0.04,0.35+-0.25,0.97+-0.04,0.38+-0.29,0.86+-0.08
11,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39]",0.88+-0.04,0.37+-0.2,0.97+-0.03,0.44+-0.2,0.87+-0.08
12,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27]",0.89+-0.04,0.39+-0.24,0.97+-0.04,0.45+-0.24,0.88+-0.08
13,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70]",0.89+-0.05,0.39+-0.25,0.97+-0.03,0.46+-0.28,0.85+-0.09
14,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24]",0.88+-0.05,0.38+-0.21,0.96+-0.04,0.43+-0.27,0.85+-0.11
15,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33]",0.88+-0.03,0.36+-0.21,0.96+-0.03,0.39+-0.22,0.83+-0.11
16,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90]",0.89+-0.04,0.36+-0.22,0.98+-0.03,0.45+-0.26,0.86+-0.07
17,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6]",0.89+-0.04,0.35+-0.23,0.98+-0.03,0.43+-0.25,0.86+-0.11
18,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1]",0.89+-0.03,0.42+-0.24,0.97+-0.03,0.47+-0.24,0.86+-0.1
19,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0]",0.89+-0.05,0.37+-0.27,0.98+-0.03,0.45+-0.29,0.85+-0.1
20,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43]",0.89+-0.05,0.37+-0.24,0.98+-0.03,0.46+-0.25,0.85+-0.11
21,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92]",0.89+-0.03,0.39+-0.21,0.97+-0.03,0.48+-0.21,0.84+-0.11
22,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22]",0.88+-0.04,0.37+-0.21,0.97+-0.03,0.42+-0.23,0.86+-0.08
23,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84]",0.9+-0.04,0.38+-0.24,0.98+-0.02,0.48+-0.27,0.86+-0.09
24,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66]",0.88+-0.05,0.33+-0.24,0.97+-0.04,0.38+-0.28,0.85+-0.1
25,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93]",0.88+-0.04,0.36+-0.26,0.97+-0.03,0.41+-0.26,0.85+-0.09
26,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64]",0.89+-0.03,0.33+-0.18,0.98+-0.03,0.43+-0.22,0.85+-0.08
27,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86]",0.88+-0.04,0.36+-0.22,0.97+-0.04,0.4+-0.26,0.85+-0.08
28,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20]",0.88+-0.04,0.31+-0.2,0.98+-0.03,0.39+-0.26,0.86+-0.09
29,"[13, 5, 7, 17, 98, 41, 47, 3, 2, 95, 89, 39, 27, 70, 24, 33, 90, 6, 1, 0, 43, 92, 22, 84, 66, 93, 64, 86, 20, 21]",0.88+-0.04,0.34+-0.19,0.98+-0.03,0.45+-0.21,0.84+-0.09
