,SID,score
0,SLC39A8,0.013756071715388929
1,RHAG,0.014089801998047713
2,DDIT4,0.017575277082407356
3,MPO,0.01777881283082357
4,RRM2,0.0041235021299186455
5,CCL3,0.024728876504393055
6,TGFBI,0.014127863742382415
7,MAFF,0.02410455738997968
8,TYMS,0.007151373317108986
9,ENPP2,0.005450667289761438
10,KIAA0101,0.003369270028038298
11,TOP2A,0.00826663302916316
12,KIF11,0.008974686735872458
13,PRG2,0.0429347677766457
14,CKS2,0.007008093112286727
15,SLCO4A1,0.004388523233329524
16,ZWINT,0.004500009635985861
17,CCR2,0.02102161914010842
18,CCNB1,0.0035440517978920704
19,CEP55,0.00321302040312222
20,NUSAP1,0.011636856551384843
21,RGS1,0.011193308480973982
22,PTTG1,0.012623547782792777
23,PRC1,0.009629242122829496
24,CD24,0.015148259140102815
25,CCNB2,0.004896985844632483
26,HMMR,0.004020382817807502
27,CPVL,0.015991121456427417
28,RGL1,0.00698441749045441
29,MLF1IP,0.009901296570571923
30,FABP5,0.009385787998599614
31,MAD2L1,0.005171147189036371
32,CD69,0.007657800281305601
33,RGS2,0.014959581836946984
34,EMP1,0.007417199414394404
35,RACGAP1,0.005336570591933037
36,FGL2,0.008890889514279056
37,TTK,0.011126025424307292
38,NME1,0.0040972950119246105
39,TFRC,0.016837367072993915
40,CTSL1,0.010976665617882986
41,EBI3,0.019264182882548032
42,SHCBP1,0.0044745311632909
43,CCRL2,0.013701642554550248
44,KIF14,0.006776077474325454
45,MELK,0.008888638002921497
46,TFDP2,0.010814414098305516
47,MT1G,0.019094763547499442
48,H1F0,0.010602251866308754
49,MCM4,0.005305255977796341
50,AREG,0.007852837757861277
51,NEK2,0.004846595453454191
52,MT1H,0.009770427879300965
53,TPX2,0.0038383706198029193
54,BTG3,0.010935379914273857
55,RAB13,0.005348392554865679
56,HSPA6,0.007326936849487915
57,CDC20,0.004695916003286742
58,EMR3,0.008017253570184846
59,CASC5,0.0071773497175556715
60,MT1E,0.009381456956042963
61,SCD,0.010833827870754393
62,GINS2,0.004789753345518814
63,RCBTB2,0.008116019557488212
64,E2F8,0.01178059375717561
65,STAT4,0.006814390399485236
66,NUAK2,0.012144697646157592
67,CKS1B,0.004714297368914308
68,CCNE2,0.0036955836570684818
69,RAD51AP1,0.004016034409410242
70,TNFAIP3,0.01564402834405484
71,CD302,0.005154284733907407
72,MCM6,0.0021207514630530977
73,NDUFS5,0.004813857916534203
74,RPL10,0.004731329804682284
75,BUB1B,0.0072329473555386575
76,MT1X,0.003910872389214381
77,CDKN3,0.003071487693665247
78,NNMT,0.0070955536745896134
79,COX6C,0.003824036584474467
80,LSM5,0.003964021139643538
81,PSMG1,0.004086158041995915
82,CENPA,0.004616329548070933
83,KIF4A,0.00722522866050372
84,MANSC1,0.012617059694267494
85,MCM2,0.008114178795320596
86,MT1F,0.011779637321479085
87,RPA3,0.004327165758195231
88,COX7B,0.0038104333531736602
89,MYL6B,0.01687155338361935
90,PCNT,0.01479726866528186
91,ATAD2,0.005276751314011152
92,SDC4,0.012735643750308227
93,WBP5,0.011983009459823973
94,TARS,0.00634867531900921
95,CCL20,0.017498270659192485
96,CLEC7A,0.007270432606061567
97,RAD51,0.005928135258160083
98,JUN,0.02042046792167828
99,FEN1,0.0043003732830252375
100,AURKA,0.004660689872826576
101,FRAT1,0.008861571472647654
102,SNRPG,0.004372135006070743
103,KIF2C,0.009360120311033959
104,POLE2,0.0036171562710516124
105,UBE2C,0.007619873752847612
106,AURKB,0.010137189794757556
107,CENPF,0.010794219666354632
