,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.83+-0.04,0.21+-0.19,0.93+-0.05,0.17+-0.21,0.71+-0.11
1,"[13, 84]",0.86+-0.04,0.24+-0.21,0.96+-0.03,0.26+-0.26,0.78+-0.13
2,"[13, 84, 2]",0.89+-0.02,0.28+-0.14,0.98+-0.02,0.39+-0.18,0.86+-0.06
3,"[13, 84, 2, 50]",0.89+-0.03,0.31+-0.19,0.98+-0.02,0.39+-0.22,0.84+-0.06
4,"[13, 84, 2, 50, 98]",0.89+-0.03,0.3+-0.2,0.98+-0.02,0.4+-0.23,0.85+-0.08
5,"[13, 84, 2, 50, 98, 40]",0.88+-0.03,0.27+-0.2,0.98+-0.03,0.36+-0.25,0.85+-0.09
6,"[13, 84, 2, 50, 98, 40, 33]",0.89+-0.03,0.3+-0.19,0.99+-0.02,0.41+-0.25,0.85+-0.1
7,"[13, 84, 2, 50, 98, 40, 33, 78]",0.9+-0.04,0.33+-0.23,1.0+-0.01,0.48+-0.26,0.85+-0.09
8,"[13, 84, 2, 50, 98, 40, 33, 78, 7]",0.9+-0.04,0.34+-0.23,0.99+-0.02,0.46+-0.27,0.85+-0.1
9,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9]",0.9+-0.03,0.33+-0.15,0.99+-0.02,0.47+-0.19,0.84+-0.07
10,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5]",0.9+-0.04,0.34+-0.21,0.99+-0.02,0.47+-0.25,0.84+-0.1
11,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3]",0.89+-0.02,0.3+-0.16,0.99+-0.02,0.44+-0.18,0.84+-0.1
12,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39]",0.89+-0.04,0.3+-0.21,0.99+-0.02,0.41+-0.25,0.85+-0.09
13,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48]",0.9+-0.03,0.33+-0.22,1.0+-0.01,0.48+-0.25,0.86+-0.07
14,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92]",0.9+-0.03,0.32+-0.23,1.0+-0.01,0.48+-0.25,0.85+-0.11
15,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56]",0.9+-0.03,0.33+-0.24,1.0+-0.01,0.46+-0.27,0.86+-0.09
16,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95]",0.9+-0.04,0.3+-0.27,1.0+-0.01,0.43+-0.29,0.85+-0.1
17,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47]",0.9+-0.02,0.3+-0.18,1.0+-0.01,0.46+-0.23,0.83+-0.09
18,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58]",0.9+-0.03,0.3+-0.21,1.0+-0.0,0.44+-0.28,0.86+-0.1
19,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93]",0.9+-0.03,0.31+-0.19,0.99+-0.02,0.46+-0.21,0.84+-0.08
20,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89]",0.9+-0.03,0.32+-0.16,1.0+-0.01,0.49+-0.21,0.84+-0.09
21,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86]",0.9+-0.03,0.32+-0.21,1.0+-0.01,0.46+-0.27,0.83+-0.11
22,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46]",0.9+-0.03,0.31+-0.2,1.0+-0.01,0.46+-0.25,0.83+-0.09
23,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90]",0.9+-0.03,0.3+-0.21,1.0+-0.0,0.47+-0.24,0.86+-0.08
24,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24]",0.9+-0.03,0.24+-0.2,1.0+-0.0,0.38+-0.28,0.83+-0.09
25,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88]",0.9+-0.03,0.29+-0.21,1.0+-0.01,0.44+-0.26,0.85+-0.09
26,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73]",0.9+-0.03,0.26+-0.23,1.0+-0.01,0.39+-0.29,0.86+-0.09
27,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76]",0.9+-0.03,0.25+-0.18,1.0+-0.01,0.4+-0.25,0.85+-0.08
28,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55]",0.9+-0.03,0.29+-0.18,1.0+-0.0,0.46+-0.23,0.85+-0.07
29,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70]",0.9+-0.03,0.26+-0.23,1.0+-0.01,0.38+-0.3,0.86+-0.08
30,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0]",0.9+-0.03,0.3+-0.22,1.0+-0.01,0.45+-0.26,0.85+-0.09
31,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1]",0.89+-0.04,0.24+-0.21,1.0+-0.01,0.36+-0.28,0.85+-0.09
32,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52]",0.9+-0.03,0.25+-0.2,1.0+-0.0,0.4+-0.27,0.84+-0.11
33,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52, 83]",0.9+-0.03,0.29+-0.17,1.0+-0.02,0.44+-0.22,0.84+-0.08
34,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52, 83, 61]",0.9+-0.04,0.31+-0.25,1.0+-0.01,0.43+-0.31,0.84+-0.08
35,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52, 83, 61, 28]",0.9+-0.03,0.25+-0.24,1.0+-0.01,0.36+-0.3,0.86+-0.09
