,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.82+-0.04,0.22+-0.2,0.91+-0.05,0.14+-0.21,0.66+-0.12
1,"[13, 84]",0.84+-0.04,0.27+-0.22,0.93+-0.05,0.23+-0.24,0.68+-0.19
2,"[13, 84, 2]",0.85+-0.05,0.31+-0.21,0.93+-0.05,0.28+-0.25,0.75+-0.12
3,"[13, 84, 2, 50]",0.86+-0.06,0.4+-0.21,0.94+-0.05,0.38+-0.25,0.79+-0.11
4,"[13, 84, 2, 50, 98]",0.86+-0.04,0.37+-0.22,0.94+-0.04,0.34+-0.24,0.74+-0.16
5,"[13, 84, 2, 50, 98, 40]",0.83+-0.06,0.32+-0.25,0.91+-0.06,0.23+-0.24,0.7+-0.15
6,"[13, 84, 2, 50, 98, 40, 33]",0.85+-0.05,0.31+-0.23,0.94+-0.03,0.27+-0.26,0.7+-0.16
7,"[13, 84, 2, 50, 98, 40, 33, 78]",0.86+-0.06,0.39+-0.17,0.93+-0.05,0.37+-0.21,0.75+-0.15
8,"[13, 84, 2, 50, 98, 40, 33, 78, 7]",0.84+-0.05,0.35+-0.24,0.92+-0.04,0.27+-0.25,0.73+-0.15
9,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9]",0.85+-0.06,0.37+-0.21,0.93+-0.05,0.33+-0.25,0.75+-0.14
10,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5]",0.85+-0.05,0.35+-0.28,0.93+-0.05,0.3+-0.25,0.69+-0.16
11,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3]",0.85+-0.09,0.39+-0.26,0.93+-0.08,0.37+-0.33,0.71+-0.17
12,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39]",0.87+-0.06,0.42+-0.2,0.94+-0.07,0.42+-0.19,0.76+-0.14
13,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48]",0.85+-0.05,0.33+-0.2,0.93+-0.05,0.3+-0.24,0.65+-0.17
14,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92]",0.84+-0.06,0.32+-0.18,0.92+-0.06,0.29+-0.22,0.68+-0.16
15,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56]",0.85+-0.06,0.35+-0.18,0.93+-0.06,0.33+-0.26,0.68+-0.18
16,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95]",0.85+-0.06,0.38+-0.26,0.92+-0.06,0.33+-0.24,0.71+-0.16
17,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47]",0.84+-0.05,0.35+-0.18,0.92+-0.06,0.3+-0.19,0.7+-0.12
18,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58]",0.85+-0.05,0.41+-0.22,0.92+-0.06,0.35+-0.23,0.72+-0.14
19,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93]",0.83+-0.06,0.32+-0.24,0.92+-0.06,0.24+-0.27,0.66+-0.19
20,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89]",0.85+-0.06,0.38+-0.3,0.92+-0.04,0.31+-0.29,0.68+-0.21
21,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86]",0.86+-0.04,0.4+-0.21,0.93+-0.05,0.38+-0.17,0.68+-0.14
