,Comb,ACC,Sn,Sp,Mcc,AUC
0,[13],0.77+-0.05,0.2+-0.19,0.86+-0.05,0.05+-0.18,0.67+-0.09
1,"[13, 84]",0.85+-0.04,0.33+-0.18,0.94+-0.04,0.31+-0.2,0.8+-0.09
2,"[13, 84, 2]",0.88+-0.04,0.31+-0.24,0.97+-0.03,0.35+-0.28,0.83+-0.11
3,"[13, 84, 2, 50]",0.88+-0.04,0.39+-0.22,0.96+-0.03,0.43+-0.25,0.82+-0.11
4,"[13, 84, 2, 50, 98]",0.89+-0.04,0.32+-0.21,0.98+-0.03,0.4+-0.25,0.83+-0.1
5,"[13, 84, 2, 50, 98, 40]",0.88+-0.05,0.36+-0.26,0.97+-0.04,0.42+-0.28,0.84+-0.09
6,"[13, 84, 2, 50, 98, 40, 33]",0.9+-0.04,0.36+-0.23,0.98+-0.02,0.45+-0.26,0.82+-0.12
7,"[13, 84, 2, 50, 98, 40, 33, 78]",0.89+-0.04,0.31+-0.25,0.99+-0.02,0.39+-0.31,0.83+-0.09
8,"[13, 84, 2, 50, 98, 40, 33, 78, 7]",0.89+-0.03,0.33+-0.19,0.98+-0.02,0.4+-0.23,0.82+-0.08
9,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9]",0.89+-0.04,0.37+-0.23,0.98+-0.03,0.44+-0.26,0.83+-0.1
10,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5]",0.89+-0.04,0.35+-0.18,0.98+-0.03,0.45+-0.23,0.82+-0.08
11,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3]",0.9+-0.04,0.37+-0.26,0.98+-0.02,0.46+-0.28,0.84+-0.11
12,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39]",0.9+-0.03,0.33+-0.23,0.99+-0.02,0.43+-0.25,0.83+-0.12
13,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48]",0.9+-0.03,0.33+-0.2,0.99+-0.02,0.45+-0.24,0.83+-0.09
14,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92]",0.9+-0.03,0.34+-0.19,0.99+-0.02,0.48+-0.22,0.84+-0.1
15,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56]",0.9+-0.03,0.35+-0.16,0.99+-0.02,0.5+-0.21,0.84+-0.08
16,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95]",0.9+-0.03,0.34+-0.19,0.99+-0.02,0.48+-0.22,0.83+-0.1
17,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47]",0.9+-0.04,0.36+-0.22,0.98+-0.02,0.47+-0.25,0.82+-0.11
18,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58]",0.9+-0.04,0.37+-0.2,0.99+-0.02,0.49+-0.24,0.83+-0.09
19,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93]",0.91+-0.04,0.36+-0.24,0.99+-0.02,0.48+-0.29,0.82+-0.1
20,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89]",0.9+-0.04,0.33+-0.2,0.99+-0.01,0.47+-0.24,0.83+-0.12
21,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86]",0.9+-0.03,0.33+-0.2,0.99+-0.01,0.48+-0.23,0.83+-0.11
22,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46]",0.9+-0.03,0.36+-0.23,0.99+-0.01,0.48+-0.26,0.82+-0.09
23,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90]",0.9+-0.03,0.32+-0.25,0.99+-0.01,0.44+-0.28,0.82+-0.1
24,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24]",0.9+-0.03,0.34+-0.21,0.99+-0.02,0.48+-0.26,0.79+-0.12
25,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88]",0.9+-0.03,0.31+-0.25,0.99+-0.02,0.43+-0.27,0.84+-0.08
26,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73]",0.91+-0.04,0.38+-0.23,0.99+-0.02,0.51+-0.24,0.82+-0.09
27,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76]",0.89+-0.04,0.27+-0.23,0.99+-0.02,0.39+-0.27,0.82+-0.14
28,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55]",0.89+-0.03,0.29+-0.21,0.99+-0.02,0.4+-0.26,0.84+-0.1
29,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70]",0.9+-0.04,0.33+-0.21,0.99+-0.02,0.48+-0.24,0.81+-0.1
30,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0]",0.91+-0.03,0.36+-0.17,1.0+-0.02,0.54+-0.17,0.83+-0.11
31,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1]",0.9+-0.03,0.31+-0.17,0.99+-0.02,0.46+-0.18,0.83+-0.1
32,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52]",0.9+-0.03,0.32+-0.2,0.99+-0.01,0.47+-0.25,0.82+-0.09
33,"[13, 84, 2, 50, 98, 40, 33, 78, 7, 9, 5, 3, 39, 48, 92, 56, 95, 47, 58, 93, 89, 86, 46, 90, 24, 88, 73, 76, 55, 70, 0, 1, 52, 83]",0.9+-0.03,0.31+-0.17,0.99+-0.02,0.45+-0.2,0.82+-0.11
