,SID,score
0,SLC39A8,0.010922798380729426
1,RHAG,0.010874600492824698
2,DDIT4,0.027314129890050116
3,MPO,0.019023888029252593
4,RRM2,0.006433472178819948
5,CCL3,0.019039448396632092
6,TGFBI,0.009780466074485152
7,MAFF,0.020699294502550643
8,TYMS,0.004513836899353519
9,ENPP2,0.020365094654097516
10,KIAA0101,0.0021539498950356273
11,TOP2A,0.002836256209123099
12,KIF11,0.0024744311611841624
13,PRG2,0.04654088832192383
14,CKS2,0.007549121586755542
15,SLCO4A1,0.009317234009134567
16,ZWINT,0.0021560573830274347
17,CCR2,0.007829160434193877
18,CCNB1,0.0008072492189706953
19,CEP55,0.002418852656167781
20,NUSAP1,0.0029546594729249055
21,RGS1,0.00966442673007189
22,PTTG1,0.002473534401695336
23,PRC1,0.004177193538190289
24,CD24,0.012871904326029786
25,CCNB2,0.0016797556713369528
26,HMMR,0.003792651266107687
27,CPVL,0.007287023427207897
28,RGL1,0.009965548826753849
29,MLF1IP,0.006183442177192031
30,FABP5,0.007289469400988016
31,MAD2L1,0.0025031513074244144
32,CD69,0.00660698421686833
33,RGS2,0.02422818678985548
34,EMP1,0.00984898781199433
35,RACGAP1,0.0036473607342466493
36,FGL2,0.007349269117185469
37,TTK,0.002656465495510943
38,NME1,0.008370319962222143
39,TFRC,0.018767632412711222
40,CTSL1,0.024759653674966
41,EBI3,0.005249559033422869
42,SHCBP1,0.001779439825037451
43,CCRL2,0.007340831983531008
44,KIF14,0.006229510815909225
45,MELK,0.0032033591804188724
46,TFDP2,0.01361706256409167
47,MT1G,0.016456165630241906
48,H1F0,0.018631971541258188
49,MCM4,0.0012242946845157634
50,AREG,0.026114998980229977
51,NEK2,0.0022920229980206096
52,MT1H,0.01063711813945564
53,TPX2,0.0026835555622906682
54,BTG3,0.009809571523570617
55,RAB13,0.011975010928106352
56,HSPA6,0.017874981657188187
57,CDC20,0.0028969761119030943
58,EMR3,0.016281232222539115
59,CASC5,0.006065017182816517
60,MT1E,0.005447702111928054
61,SCD,0.01006251780303146
62,GINS2,0.0032539798305358946
63,RCBTB2,0.005470952950151274
64,E2F8,0.004345057082474013
65,STAT4,0.0036659553114916418
66,NUAK2,0.005463691550872044
67,CKS1B,0.0019082656854542677
68,CCNE2,0.005702914489256482
69,RAD51AP1,0.007133624822827556
70,TNFAIP3,0.01173359249283833
71,CD302,0.007946033797427969
72,MCM6,0.008143521979342266
73,NDUFS5,0.012288821846731917
74,RPL10,0.00535255609042127
75,BUB1B,0.006377787079618606
76,MT1X,0.012108160486667638
77,CDKN3,0.003716043859155563
78,NNMT,0.021509469059466206
79,COX6C,0.0027201434118296133
80,LSM5,0.003064092951477126
81,PSMG1,0.0018254701747240066
82,CENPA,0.0012444681861348524
83,KIF4A,0.010289301497365162
84,MANSC1,0.0387586406373818
85,MCM2,0.00636143369207327
86,MT1F,0.013667983980907742
87,RPA3,0.004457837361060241
88,COX7B,0.012464371650194048
89,MYL6B,0.0138492644480758
90,PCNT,0.012959871573987676
91,ATAD2,0.0015545163100816421
92,SDC4,0.018117021505320696
93,WBP5,0.014051137841211397
94,TARS,0.005635313556515602
95,CCL20,0.017483898048798057
96,CLEC7A,0.009677676965939153
97,RAD51,0.00947421664474597
98,JUN,0.025623056724509673
99,FEN1,0.006156908538860711
100,AURKA,0.0024815084446135533
101,FRAT1,0.007828829162089605
102,SNRPG,0.0034439400721979533
103,KIF2C,0.006153106627477575
104,POLE2,0.0054610894008708
105,UBE2C,0.003391248492233861
106,AURKB,0.007262886872356918
107,CENPF,0.002419585196929574
