,SID,score
0,SLC39A8,0.0012745800172785592
1,RHAG,0.0002614058280586853
2,DDIT4,0.023216135154668766
3,MPO,0.001526198179625767
4,RRM2,0.05637122499189655
5,CCL3,0.04958186903312582
6,TGFBI,0.006451856977461766
7,MAFF,0.11271695780800924
8,TYMS,0.0
9,ENPP2,0.0001837817042380672
10,KIAA0101,3.6596367526646595e-05
11,TOP2A,2.6974353711033055e-05
12,KIF11,0.0
13,PRG2,0.1989286934380994
14,CKS2,1.0070592850617513e-06
15,SLCO4A1,0.0006610192966285685
16,ZWINT,3.1590636473997625e-05
17,CCR2,0.026351034109727743
18,CCNB1,0.0
19,CEP55,0.0
20,NUSAP1,1.800986835756231e-06
21,RGS1,0.02742547232435317
22,PTTG1,0.003365649035525092
23,PRC1,5.57117197920552e-05
24,CD24,2.0721903034268477e-05
25,CCNB2,1.1030382870139648e-05
26,HMMR,0.0024390225416122857
27,CPVL,0.00015518754053497872
28,RGL1,0.034806083984778496
29,MLF1IP,0.0004996274267343021
30,FABP5,2.453597795318608e-05
31,MAD2L1,0.000494325242036102
32,CD69,2.958052597411544e-07
33,RGS2,0.001317139540137759
34,EMP1,5.640644043608893e-07
35,RACGAP1,2.1391917072439185e-08
36,FGL2,2.054631446095361e-06
37,TTK,1.6348628909791636e-05
38,NME1,1.5486089270955368e-05
39,TFRC,0.010702815209343386
40,CTSL1,0.003579966884482269
41,EBI3,0.007641411587722481
42,SHCBP1,0.0002764699335764629
43,CCRL2,3.647320070195598e-05
44,KIF14,7.579344745474671e-07
45,MELK,1.2774889854334293e-07
46,TFDP2,0.010015712075232937
47,MT1G,0.1485864624031363
48,H1F0,0.0040850625023132105
49,MCM4,0.0048882313319061
50,AREG,0.00029600392778070863
51,NEK2,0.00012274911563976072
52,MT1H,0.0
53,TPX2,3.0732131537760254e-05
54,BTG3,0.003223431569739308
55,RAB13,1.1296160958531142e-06
56,HSPA6,0.0032147309517593973
57,CDC20,0.003981713819864926
58,EMR3,5.591383976370413e-07
59,CASC5,3.1967195808098616e-07
60,MT1E,2.3873267460298466e-05
61,SCD,4.320712313013512e-05
62,GINS2,0.0004130153849492222
63,RCBTB2,0.017237453096824874
64,E2F8,0.0041865126591343746
65,STAT4,0.010983277573741589
66,NUAK2,0.00038665823328106353
67,CKS1B,3.5969017324762614e-08
68,CCNE2,0.0
69,RAD51AP1,0.00019447407328953284
70,TNFAIP3,0.0017105119537374027
71,CD302,0.0019194470615224763
72,MCM6,0.0
73,NDUFS5,0.000470772325047579
74,RPL10,0.0
75,BUB1B,1.152099442769005e-07
76,MT1X,0.0007799880070454059
77,CDKN3,2.7545319525140167e-05
78,NNMT,8.125462644577235e-05
79,COX6C,0.0
80,LSM5,1.884411004927056e-05
81,PSMG1,1.3678562721510666e-05
82,CENPA,0.0005208176410668629
83,KIF4A,0.0
84,MANSC1,0.08271003533219405
85,MCM2,0.0062853603066809205
86,MT1F,0.0007952657086307929
87,RPA3,0.003765654008275296
88,COX7B,0.013086558617996626
89,MYL6B,0.02662074239698512
90,PCNT,0.008659892798403452
91,ATAD2,1.3818442242018351e-05
92,SDC4,0.00016962783820240825
93,WBP5,0.04701007412759979
94,TARS,0.0
95,CCL20,0.009707227147765075
96,CLEC7A,0.002330875325479278
97,RAD51,0.0034568714531246782
98,JUN,1.275183778140039e-06
99,FEN1,1.1164355309106507e-05
100,AURKA,0.004700818361721451
101,FRAT1,1.8526474893423983e-06
102,SNRPG,9.346639615911317e-06
103,KIF2C,0.0
104,POLE2,0.0006022670681556106
105,UBE2C,2.0719570921291962e-05
106,AURKB,0.0
107,CENPF,0.00207220554371287
